	Country	Year	CountryShort	Nr. of coordinated projects	Budget of coordinated projects	Total nr. of projects	Nr. of projects as participant	GDP	Population	% pop. that study up to secondary education	% pop. with a secondary or tertiary education	% pop. with have a secondary education	% pop. with a tertiary education	R&D Budget	R&D Budget of enterprise	R&D Budget of government	R&D Budget of high education	R&D Budget of non-profit organisation	GDP / capita	Budget of coordinated projects / capita	Nr. of coordinated projects - Cumulative	Budget of coordinated projects - Cumulative	Total nr. of projects - Cumulative	Nr. of projects as participant - Cumulative	Budget of coordinated projects / capita - Cumulative
1	Austria	2003	AT	4	5525641	37	33	 230999200000	8100273	NA	NA	NA	NA	5041980000	NA	NA	NA	NA	28517.4586091111	0.682154910087598	4	5525641	37	33	0.682154910087598
2	Austria	2004	AT	73	176694604.86	597	524	 241505000000	8142573	24.7	75.3	59.8	15.4	5249546000	3556479000	269832000	1401649000	21586000	29659.5437339033	21.7000946580399	77	182220245.86	634	557	22.3822495681275
3	Austria	2005	AT	72	171735683	482	410	 253009300000	8201359	24.5	75.5	60.5	15	6029810000	4207669000	313916000	1490337000	17888000	30849.6799128047	20.9399055693087	149	353955928.86	1116	967	43.3221551374362
4	Austria	2006	AT	89	183107038	603	514	 266478000000	8254298	25	75	60.3	14.7	6318587000	4448676000	330232000	1523160000	16519000	32283.5448877663	22.1832356912726	238	537062966.86	1719	1481	65.5053908287088
5	Austria	2007	AT	51	77232674	258	207	 282346900000	8282984	25.4	74.6	60	14.6	6867815000	4845861000	367300000	1637277000	17377000	34087.5824461329	9.32425729664575	289	614295640.86	1977	1688	74.8296481253546
6	Austria	2008	AT	94	314637226.97	555	461	 291930400000	8307989	24.6	75.4	60.4	15	7548060000	5232630000	403210000	1884560000	27670000	35138.5154698688	37.8716470339573	383	928932867.83	2532	2149	112.701295159312
7	Austria	2009	AT	78	188485788.9	413	335	 286188400000	8335003	23.8	76.2	60.2	16	7479745000	5092902000	399093000	1951845000	35905000	34335.7284934391	22.6137637742902	461	1117418656.73	2945	2484	135.315058933602
8	Austria	2010	AT	83	192679375.81	463	380	 294627500000	8351643	23.2	76.8	60.5	16.2	8066440000	5520422000	422417000	2084397000	39204000	35277.7890530043	23.0708347818507	544	1310098032.54	3408	2864	158.385893715453
9	Austria	2011	AT	105	204125829.72	591	486	 308630300000	8375164	23.1	76.9	60.6	16.3	8276335000	5692841000	425222000	2117553000	40719000	36850.6574916025	24.3727561299098	649	1514223862.26	3999	3350	182.758649845363
10	Austria	2012	AT	113	298830720.23	588	475	 317117000000	8408121	22.4	77.6	60.8	16.9	9287840000	6540457000	425148000	2281625000	40610000	37715.5609439969	35.5407254760011	762	1813054582.49	4587	3825	218.299375321364
11	Austria	2013	AT	119	365417892.01	631	512	 322539200000	8451860	22.2	77.8	60.2	17.7	9571282000	6778420000	424885000	2327754000	40223000	38161.9193881583	43.2352040864378	881	2178472474.5	5218	4337	261.534579407801
12	Austria	2014	AT	83	220131066.95	304	221	 330417600000	8506889	20.3	79.7	52.4	27.4	10099780000	7152704000	448346000	2456286000	42444000	38841.1791901834	25.8768001968757	964	2398603541.45	5522	4558	287.411379604677
13	Austria	2015	AT	121	426784039.14	601	480	 339896000000	8576261	19.6	80.4	52.3	28.1	10444160000	7396600000	463630000	2540040000	43890000	39632.1893655056	49.7634154487602	1085	2825387580.59	6123	5038	337.174795053437
14	Austria	2016	AT	122	439091072.86	637	515	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1207	3264478653.45	6760	5553	NA
16	Belgium	2003	BE	12	29475067	89	77	 282637000000	10355844	39.6	60.4	34.8	25.6	5177444000	3607892000	354449000	1150011000	65092000	27292.5123244421	2.84622547423464	12	29475067	89	77	2.84622547423464
17	Belgium	2004	BE	126	565638653.97	910	784	 298711000000	10396421	37.8	62.2	35.4	26.8	5403617000	3731814000	418592000	1175707000	77505000	28732.0992483856	54.4070554636062	138	595113720.97	999	861	57.2532809378408
18	Belgium	2005	BE	117	317387234	749	632	 311481000000	10445852	36.3	63.7	36.5	27.2	5551553000	3775624000	464249000	1238842000	72839000	29818.6303998946	30.3840446906581	255	912500954.97	1748	1493	87.6373256284989
19	Belgium	2006	BE	135	446289968.75	954	819	 326662000000	10511382	35.7	64.3	36.4	27.9	5926513000	4105615000	475956000	1263056000	81886000	31076.9792211909	42.4577823115933	390	1358790923.72	2702	2312	130.095107940092
20	Belgium	2007	BE	64	119238601.76	371	307	 344713000000	10584534	34.8	65.2	37.1	28.1	6356931000	4420386000	513282000	1343477000	79786000	32567.6123294611	11.265361494422	454	1478029525.48	3073	2619	141.360469434514
21	Belgium	2008	BE	119	313925457.24	874	755	 354066000000	10666866	33.6	66.4	38	28.4	6812699000	4650011000	608585000	1487240000	66864000	33193.0672045566	29.4299616438418	573	1791954982.72	3947	3374	170.790431078356
22	Belgium	2009	BE	94	280077163.19	677	583	 348781000000	10753080	32.4	67.6	38.1	29.4	6924591000	4574767000	637873000	1642796000	69154000	32435.4510521637	26.0462270521562	667	2072032145.91	4624	3957	196.836658130512
23	Belgium	2010	BE	155	356009520.56	868	713	 365101000000	10839905	32.6	67.4	36.7	30.7	7487500000	5027700000	630900000	1760500000	68500000	33681.1992356022	32.8424945200166	822	2428041666.47	5492	4670	229.679152650529
24	Belgium	2011	BE	141	289190836.84	907	766	 379106000000	11000638	31.9	68.1	37.7	30.4	8171000000	5613400000	658600000	1825500000	73600000	34462.1830115671	26.2885513403859	963	2717232503.31	6399	5436	255.967703990915
25	Belgium	2012	BE	161	499848791.78	983	822	 387447000000	11094850	31.4	68.6	37.4	31.3	9153500000	6493300000	747100000	1877900000	35200000	34921.3373772516	45.0523253383327	1124	3217081295.09	7382	6258	301.020029329247
26	Belgium	2013	BE	154	452385769.19	1035	881	 392675000000	11161642	30.4	69.6	38.1	31.5	9545663000	6745547000	775192000	1990760000	34164000	35180.7556630109	40.5303959032193	1278	3669467064.28	8417	7139	341.550425232466
27	Belgium	2014	BE	105	349100835.93	481	376	 400408000000	11203992	29.5	70.5	37.8	32.6	9874579000	7032520000	811590000	1996130000	34339000	35737.9762498938	31.1586116743032	1383	4018567900.21	8898	7515	372.70903690677
28	Belgium	2015	BE	164	536120137.81	962	798	 409407000000	11208986	28.7	71.3	38.7	32.7	10072400000	7247080000	782170000	2008680000	34470000	36524.891725264	47.8294948187106	1547	4554688038.02	9860	8313	420.53853172548
29	Belgium	2016	BE	163	604629213.99	951	788	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1710	5159317252.01	10811	9101	NA
31	Bulgaria	2004	BG	7	2886842	105	98	  21042200000	7745147	34	66	48.1	17.9	99319000	23550000	66554000	9215000	512000	2716.82383820475	0.372729142519826	7	2886842	105	98	0.372729142519826
32	Bulgaria	2005	BG	21	8116183	147	126	  24001600000	7688573	33.4	66.6	48.8	17.8	106423000	22908000	71092000	11159000	1264000	3121.72362803865	1.05561630227092	28	11003025	252	224	1.42834544479074
33	Bulgaria	2006	BG	6	2912672	139	133	  27349900000	7629371	30.6	69.4	51.3	18.2	121196000	30883000	77673000	11594000	1047000	3584.81714940852	0.381770921875473	34	13915697	391	357	1.81011636666621
34	Bulgaria	2007	BG	9	3032298	80	71	  32708000000	7572673	28.7	71.3	52.8	18.5	139609000	43494000	81615000	13492000	1008000	4319.21462870508	0.400426375204634	43	16947995	471	428	2.21054274187085
35	Bulgaria	2008	BG	7	3574426.65	146	139	  37373300000	7518002	28.3	71.7	52.8	18.9	166610000	51699000	97162000	16001000	1749000	4971.17452216693	0.475449015576213	50	20522421.65	617	567	2.68599175744706
36	Bulgaria	2009	BG	13	8123869.43	138	125	  37245000000	7467119	27.6	72.4	53.2	19.2	184610000	55309000	101986000	25911000	1404000	4987.86747606406	1.08795231869212	63	28646291.08	755	692	3.77394407613918
37	Bulgaria	2010	BG	4	222445.2	73	69	  37723800000	7421766	25.1	74.9	55.1	19.7	215570000	108450000	80342000	25333000	1445000	5082.86033270249	0.0299720039677888	67	28868736.28	828	761	3.80391608010697
38	Bulgaria	2011	BG	7	8321379.6	104	97	  40955100000	7369431	24	76	55.9	20.1	219637000	116930000	78711000	22495000	1502000	5557.43041762654	1.12917531896289	74	37190115.88	932	858	4.93309139906986
39	Bulgaria	2012	BG	6	7005000.92	96	90	  41693300000	7327224	23	77	56.4	20.7	253695000	153546000	76164000	20384000	3601000	5690.1904459315	0.956023852962595	80	44195116.8	1028	948	5.88911525203246
40	Bulgaria	2013	BG	4	4898092.17	100	96	  41911800000	7284552	22.1	77.9	55.7	22.2	266736000	162921000	79153000	23063000	1600000	5753.51785531904	0.672394427275692	84	49093208.97	1128	1044	6.56150967930815
41	Bulgaria	2014	BG	4	5250460.5	46	42	  42750900000	7245677	22.6	77.4	53.8	23.6	339927000	223416000	84007000	29933000	2571000	5900.19400533587	0.724633529758503	88	54343669.47	1174	1086	7.28614320906665
42	Bulgaria	2015	BG	9	4817257	110	101	  44162300000	7202198	22.2	77.8	53.7	24.1	433196000	317350000	90020000	23445000	2381000	6131.7808813365	0.668859284346251	97	59160926.47	1284	1187	7.9550024934129
43	Bulgaria	2016	BG	5	2382218	93	88	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102	61543144.47	1377	1275	NA
45	Croatia	2006	HR	2	248539	61	59	  40197800000	4312487	28.3	71.7	58.2	13.6	297500000	109206000	78857000	109015000	423000	9321.25708436918	0.0576324056165271	2	248539	61	59	0.0576324056165271
46	Croatia	2007	HR	7	2046430	31	24	  43925800000	4313530	26.7	73.3	59.9	13.4	348002000	141436000	88721000	117409000	436000	10183.2605777635	0.474421181723554	9	2294969	92	83	0.532053587340081
47	Croatia	2008	HR	5	2250807.4	72	67	  48129800000	4311967	25.9	74.1	60.5	13.6	425532000	188472000	107435000	129113000	512000	11161.9128810587	0.521990868668522	14	4545776.4	164	150	1.0540444560086
48	Croatia	2009	HR	5	5387221.25	50	45	  45090700000	4309796	25.3	74.7	60.2	14.5	380677000	153861000	103380000	122985000	451000	10462.3745532271	1.24999448929833	19	9932997.65	214	195	2.30403894530694
49	Croatia	2010	HR	3	3841343.2	33	30	  45004300000	4302847	25.4	74.6	58.8	15.7	335144000	147791000	92253000	94599000	501000	10459.1913214669	0.892744547970216	22	13774340.85	247	225	3.19678349327715
50	Croatia	2011	HR	7	8389819.44	74	67	  44708600000	4289857	24.6	75.4	60	15.4	336373000	150386000	92105000	93375000	507000	10421.9324793344	1.95573405826814	29	22164160.29	321	292	5.15251755154529
51	Croatia	2012	HR	4	12601446	65	61	  43933700000	4275984	23.1	76.9	61.1	15.8	330000000	151292000	91151000	87557000	NA	10274.5239458333	2.94702833312753	33	34765606.29	386	353	8.09954588467283
52	Croatia	2013	HR	11	21564549.9	77	66	  43487100000	4262140	22.4	77.6	60.5	17	354684000	177712000	90554000	86417000	NA	10203.1139286837	5.05955925896381	44	56330156.19	463	419	13.1591051436366
53	Croatia	2014	HR	8	11277121.45	47	39	  43019800000	4246809	20.8	79.2	60.7	18.5	339857000	163987000	88566000	87304000	NA	10129.9116583769	2.65543410358224	52	67607277.64	510	458	15.8145392472189
54	Croatia	2015	HR	10	6453886.75	93	83	  43897000000	4225316	20.3	79.7	60.1	19.6	374808000	191996000	91954000	90859000	NA	10389.0454583752	1.52743291862668	62	74061164.39	603	541	17.3419721658456
55	Croatia	2016	HR	5	4162280.39	97	92	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	78223444.78	700	633	NA
56	Cyprus	2004	CY	4	1245453	64	60	  13848000000	722893	39.2	60.8	35.1	25.7	46784000	9957000	16895000	16471000	3462000	19156.3620065487	1.72287323296809	4	1245453	64	60	1.72287323296809
57	Cyprus	2005	CY	5	132750	45	40	  14946200000	733067	36.2	63.8	38.1	25.7	55233000	12163000	17564000	21508000	3998000	20388.5865821269	0.18108849532171	9	1378203	109	100	1.9039617282898
58	Cyprus	2006	CY	12	3349498	86	74	  16140700000	744013	33.6	66.4	38.8	27.6	62363000	14184000	17866000	25725000	4588000	21694.1101835586	4.50193477802135	21	4727701	195	174	6.40589650631115
59	Cyprus	2007	CY	6	1986808	39	33	  17453800000	757916	31.1	68.9	39.1	29.7	70375000	16108000	16993000	31864000	5410000	23028.6733622196	2.62140923268542	27	6714509	234	207	9.02730573899657
60	Cyprus	2008	CY	9	3677561.82	79	70	  18822000000	776333	30.4	69.6	38.6	31	73365000	16732000	16809000	32068000	7756000	24244.7506417993	4.73709325766134	36	10392070.82	313	277	13.7643989966579
61	Cyprus	2009	CY	6	7635011.66	43	37	  18482300000	796930	31.2	68.8	38.2	30.5	82988000	16434000	16942000	38278000	11334000	23191.873815768	9.58052985833135	42	18027082.48	356	314	23.3449288549892
62	Cyprus	2010	CY	14	19533155.51	70	56	  19117700000	819140	29.6	70.4	38.3	32.1	86198000	14796000	16891000	42944000	11567000	23338.7455135874	23.8459305002808	56	37560237.99	426	370	47.19085935527
63	Cyprus	2011	CY	13	11858872.62	64	51	  19547100000	839751	28.3	71.7	38	33.7	88883000	12765000	14731000	47511000	13876000	23277.2571869518	14.1218916321624	69	49419110.61	490	421	61.3127509874324
64	Cyprus	2012	CY	10	8203979.32	71	61	  19468900000	862011	26.4	73.6	38.6	35	83322000	11959000	13696000	46671000	10996000	22585.4426451635	9.51725595149018	79	57623089.93	561	482	70.8300069389226
65	Cyprus	2013	CY	10	13094633.43	84	74	  18064600000	865878	25.4	74.6	39.2	35.4	83829000	13358000	12318000	47132000	11021000	20862.7543372161	15.1229543076507	89	70717723.36	645	556	85.9529612465733
66	Cyprus	2014	CY	11	16559561.15	54	43	  17393700000	858000	26.1	73.9	37.5	36.4	84094000	14582000	12351000	43634000	13527000	20272.3776223776	19.3001878205128	100	87277284.51	699	599	105.253149067086
67	Cyprus	2015	CY	24	34844282.58	111	87	  17420600000	847008	25.5	74.5	38.1	36.4	80400000	13300000	10900000	43200000	13000000	20567.2201443198	41.1380796639465	124	122121567.09	810	686	146.391228731033
68	Cyprus	2016	CY	18	19426577.5	86	68	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	142	141548144.59	896	754	NA
70	Czech Republic	2004	CZ	6	2480901	293	287	  95878500000	10195347	17.6	82.4	72	10.4	1100092000	686739000	246728000	162466000	4160000	9404.14288988889	0.2433365926633	6	2480901	293	287	0.2433365926633
71	Czech Republic	2005	CZ	14	9258838	294	280	 109394000000	10198855	16.8	83.2	72.2	11	1280832000	758979000	283421000	231934000	6498000	10726.1060187639	0.907831124180116	20	11739739	587	567	1.15116771684342
72	Czech Republic	2006	CZ	13	42630520	360	347	 123743200000	10223577	16.4	83.6	72.2	11.4	1526648000	911633000	328447000	279385000	7183000	12103.7089073619	4.16982431882696	33	54370259	947	914	5.32099203567038
73	Czech Republic	2007	CZ	7	158902	123	116	 138004000000	10254233	16.2	83.8	72.2	11.6	1801084000	1056870000	407206000	329842000	7165000	13458.2469503082	0.0154962345794171	40	54529161	1070	1030	5.3364882702498
74	Czech Republic	2008	CZ	11	4437649.46	257	246	 160961500000	10343422	15.8	84.2	71.7	12.4	1999197000	1172501000	453973000	364381000	8342000	15561.726090263	0.429031075015599	51	58966810.46	1327	1276	5.7655193452654
75	Czech Republic	2009	CZ	21	13165712.84	212	191	 148357400000	10425783	15.2	84.8	71.4	13.4	1924518000	1087299000	447737000	379122000	10359000	14229.85688461	1.26280326762987	72	72132523.3	1539	1467	7.02832261289527
76	Czech Republic	2010	CZ	19	9978031.43	193	174	 156369700000	10462088	14.4	85.6	71.1	14.5	2095142000	1208836000	453611000	419873000	12822000	14946.3185551488	0.953732317105343	91	82110554.73	1732	1641	7.98205493000061
77	Czech Republic	2011	CZ	12	51158676.8	179	167	 164040500000	10486731	13.9	86.1	70.3	15.8	2551989000	1411831000	504383000	621733000	14042000	15642.672630775	4.87841986220491	103	133269231.53	1911	1808	12.8604747922055
78	Czech Republic	2012	CZ	19	21786564.08	236	217	 161434300000	10505445	13.4	86.6	69.6	17	2877264000	1542415000	529731000	790430000	14688000	15366.7264927854	2.07383543295881	122	155055795.61	2147	2025	14.9343102251643
79	Czech Republic	2013	CZ	23	27090792.9	218	195	 157741600000	10516125	12.9	87.1	69	18.1	2996666000	1621654000	548790000	815926000	10296000	14999.9738496832	2.57611933102735	145	182146588.51	2365	2220	17.5104295561917
80	Czech Republic	2014	CZ	13	8669078.2	95	82	 156660000000	10512419	12.4	87.6	68.5	19.1	3090662000	1729712000	562773000	785435000	12742000	14902.3740396953	0.824651129297643	158	190815666.71	2460	2302	18.3350806854893
81	Czech Republic	2015	CZ	22	25957287.25	239	217	 166964100000	10538275	12.4	87.6	67.8	19.8	3250243000	1765003000	663171000	809513000	12558000	15843.5892022176	2.46314384944405	180	216772953.96	2699	2519	20.7982245349334
82	Czech Republic	2016	CZ	23	32802080.65	193	170	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	203	249575034.61	2892	2689	NA
84	Denmark	2003	DK	5	879283	49	44	 193353400000	5383507	25.8	74.2	47	27.2	4854805000	3354840000	340143000	1126858000	32965000	35915.8815991137	0.16332903440081	5	879283	49	44	0.16332903440081
85	Denmark	2004	DK	42	175620404	515	473	 202317400000	5397640	25.3	74.7	46.7	27.9	4896923000	3331819000	336105000	1195253000	33746000	37482.5664549692	32.5365166998911	47	176499687	564	517	32.6998457342919
86	Denmark	2005	DK	65	147707478	438	373	 212906500000	5411405	25.7	74.3	45.8	28.5	5093872000	3476762000	328600000	1254442000	34068000	39344.0335735359	27.2955873751826	112	324207165	1002	890	59.9954331094745
87	Denmark	2006	DK	54	178593934	458	404	 225592000000	5427459	25.4	74.6	45.3	29.3	5419522000	3627564000	355551000	1404154000	32253000	41564.9385835987	32.9056256343899	166	502801099	1460	1294	92.9010587438643
88	Denmark	2007	DK	44	122887238	260	216	 233439500000	5447084	32.3	67.7	41.7	26	5870551000	4101884000	190057000	1550557000	28053000	42855.865633796	22.560187799564	210	625688337	1720	1510	115.461246543428
89	Denmark	2008	DK	50	157373827.82	376	326	 241087300000	5475791	32.9	67.1	40.8	26.3	6701046000	4683745000	174560000	1821602000	21162000	44027.8491271855	28.7399259431194	260	783062164.82	2096	1836	144.201172486548
90	Denmark	2009	DK	47	90183446.86	346	299	 230213300000	5511451	32.2	67.8	40.9	26.9	7065873000	4930609000	146269000	1958972000	29627000	41769.9984994877	16.3629227330516	307	873245611.68	2442	2135	160.564095219599
91	Denmark	2010	DK	56	152690051.38	379	323	 241516900000	5534738	31.8	68.2	40.7	27.5	7093296000	4755092000	156613000	2150387000	31158000	43636.5551540109	27.587584340939	363	1025935663.06	2821	2458	188.151679560538
92	Denmark	2011	DK	78	127517868.28	434	356	 246074700000	5560628	30.7	69.3	41.5	27.9	7299197000	4870266000	148052000	2253993000	26896000	44253.0412032598	22.9322782031094	441	1153453531.34	3255	2814	211.083957763648
93	Denmark	2012	DK	97	285712158.25	485	388	 252915200000	5580516	29.8	70.2	41.6	28.6	7589599000	4976625000	180152000	2401521000	31302000	45321.1136747928	51.1981612901029	538	1439165689.59	3740	3202	262.282119053751
94	Denmark	2013	DK	108	283423551.54	560	452	 255235400000	5602628	29.5	70.5	41.4	29.1	7685904000	4868354000	181016000	2604487000	32047000	45556.3710458735	50.5876084473215	646	1722589241.13	4300	3654	312.869727501072
95	Denmark	2014	DK	83	178816675.48	246	163	 260581600000	5627235	28.2	71.8	42	29.8	7868903000	4864664000	177470000	2794978000	31792000	46307.2183763429	31.7770051330716	729	1901405916.61	4546	3817	344.646732634144
96	Denmark	2015	DK	148	229736171.82	487	339	 266178700000	5659715	27.3	72.7	42	30.7	8054271000	4974862000	181912000	2864940000	32587000	47030.4070081267	40.5914735671319	877	2131142088.43	5033	4156	385.238206201276
97	Denmark	2016	DK	149	276118654.23	521	372	           NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1026	2407260742.66	5554	4528	NA
99	Estonia	2004	EE	8	1865546	99	91	   9707700000	1366250	20.3	79.7	54	25.6	82702000	32224000	10967000	37612000	1898000	7105.36139066789	1.36544995425435	8	1865546	99	91	1.36544995425435
100	Estonia	2005	EE	10	5393910	117	107	  11262300000	1358850	19.9	80.1	52.4	27.7	104023000	46898000	11741000	43096000	2288000	8288.11127055966	3.96946682856827	18	7259456	216	198	5.33491678282262
101	Estonia	2006	EE	4	2476386	115	111	  13521700000	1350700	20.6	79.4	52	27.4	150991000	67094000	19825000	61330000	2742000	10010.8832457244	1.83340934330347	22	9735842	331	309	7.16832612612609
