country1;country2;nbLinkTmp;frameworkContract
1;Austria;Belgium;495;FP6
2;Austria;France;718;FP6
3;Belgium;France;1214;FP6
4;Finland;France;597;FP6
5;Cyprus;France;109;FP6
6;Czech Republic;France;537;FP6
7;Denmark;France;642;FP6
8;Bulgaria;France;183;FP6
9;Croatia;France;60;FP6
10;Estonia;France;162;FP6
11;Austria;Germany;990;FP6
12;Belgium;Germany;1360;FP6
13;France;Germany;2388;FP6
14;Finland;Germany;762;FP6
15;Cyprus;Germany;126;FP6
16;Czech Republic;Germany;668;FP6
17;Denmark;Germany;788;FP6
18;Bulgaria;Germany;243;FP6
19;Croatia;Germany;74;FP6
20;Estonia;Germany;210;FP6
21;Austria;Italy;711;FP6
22;Belgium;Italy;1107;FP6
23;France;Italy;1850;FP6
24;Germany;Italy;2168;FP6
25;Greece;Italy;866;FP6
26;Ireland;Italy;364;FP6
27;Finland;Italy;568;FP6
28;Hungary;Italy;529;FP6
29;Cyprus;Italy;126;FP6
30;Czech Republic;Italy;509;FP6
31;Denmark;Italy;585;FP6
32;Bulgaria;Italy;206;FP6
33;Croatia;Italy;66;FP6
34;Estonia;Italy;167;FP6
35;Austria;United Kingdom;782;FP6
36;Belgium;United Kingdom;1258;FP6
37;France;United Kingdom;2161;FP6
38;Germany;United Kingdom;2579;FP6
39;Italy;United Kingdom;1962;FP6
40;Greece;United Kingdom;923;FP6
41;Ireland;United Kingdom;492;FP6
42;Spain;United Kingdom;1697;FP6
43;Finland;United Kingdom;678;FP6
44;Poland;United Kingdom;892;FP6
45;Hungary;United Kingdom;564;FP6
46;Portugal;United Kingdom;558;FP6
47;Sweden;United Kingdom;1144;FP6
48;Netherlands;United Kingdom;1594;FP6
49;Cyprus;United Kingdom;119;FP6
50;Czech Republic;United Kingdom;602;FP6
51;Romania;United Kingdom;268;FP6
52;Denmark;United Kingdom;774;FP6
53;Lithuania;United Kingdom;164;FP6
54;Slovenia;United Kingdom;309;FP6
55;Bulgaria;United Kingdom;219;FP6
56;Croatia;United Kingdom;69;FP6
57;Slovakia;United Kingdom;221;FP6
58;Latvia;United Kingdom;117;FP6
59;Estonia;United Kingdom;200;FP6
60;Malta;United Kingdom;65;FP6
61;Luxembourg;United Kingdom;61;FP6
62;Austria;Greece;377;FP6
63;Belgium;Greece;546;FP6
64;France;Greece;888;FP6
65;Germany;Greece;1006;FP6
66;Finland;Greece;309;FP6
67;Cyprus;Greece;130;FP6
68;Czech Republic;Greece;251;FP6
69;Denmark;Greece;321;FP6
70;Bulgaria;Greece;170;FP6
71;Croatia;Greece;51;FP6
72;Estonia;Greece;94;FP6
73;Austria;Ireland;190;FP6
74;Belgium;Ireland;282;FP6
75;France;Ireland;387;FP6
76;Germany;Ireland;454;FP6
77;Greece;Ireland;215;FP6
78;Finland;Ireland;174;FP6
79;Hungary;Ireland;134;FP6
80;Cyprus;Ireland;37;FP6
81;Czech Republic;Ireland;118;FP6
82;Denmark;Ireland;176;FP6
83;Bulgaria;Ireland;68;FP6
84;Croatia;Ireland;19;FP6
85;Estonia;Ireland;62;FP6
86;Austria;Spain;602;FP6
87;Belgium;Spain;938;FP6
88;France;Spain;1584;FP6
89;Germany;Spain;1814;FP6
90;Italy;Spain;1511;FP6
91;Greece;Spain;749;FP6
92;Ireland;Spain;341;FP6
93;Finland;Spain;498;FP6
94;Poland;Spain;711;FP6
95;Hungary;Spain;460;FP6
96;Portugal;Spain;495;FP6
97;Netherlands;Spain;1105;FP6
98;Cyprus;Spain;109;FP6
99;Czech Republic;Spain;467;FP6
100;Romania;Spain;239;FP6
101;Denmark;Spain;541;FP6
102;Lithuania;Spain;120;FP6
103;Slovenia;Spain;266;FP6
104;Bulgaria;Spain;180;FP6
105;Croatia;Spain;54;FP6
106;Slovakia;Spain;175;FP6
107;Latvia;Spain;89;FP6
108;Estonia;Spain;153;FP6
109;Malta;Spain;65;FP6
110;Luxembourg;Spain;37;FP6
111;Austria;Finland;298;FP6
112;Belgium;Finland;411;FP6
113;Cyprus;Finland;48;FP6
114;Czech Republic;Finland;216;FP6
115;Denmark;Finland;299;FP6
116;Bulgaria;Finland;90;FP6
117;Croatia;Finland;30;FP6
118;Estonia;Finland;109;FP6
119;Austria;Poland;380;FP6
120;Belgium;Poland;519;FP6
121;France;Poland;787;FP6
122;Germany;Poland;1007;FP6
123;Italy;Poland;779;FP6
124;Greece;Poland;405;FP6
125;Ireland;Poland;207;FP6
126;Finland;Poland;302;FP6
127;Hungary;Poland;324;FP6
128;Netherlands;Poland;623;FP6
129;Cyprus;Poland;88;FP6
130;Czech Republic;Poland;304;FP6
131;Denmark;Poland;332;FP6
132;Lithuania;Poland;128;FP6
133;Bulgaria;Poland;157;FP6
134;Croatia;Poland;55;FP6
135;Latvia;Poland;113;FP6
136;Estonia;Poland;139;FP6
137;Malta;Poland;52;FP6
138;Luxembourg;Poland;31;FP6
139;Austria;Hungary;297;FP6
140;Belgium;Hungary;356;FP6
141;France;Hungary;524;FP6
142;Germany;Hungary;639;FP6
143;Greece;Hungary;261;FP6
144;Finland;Hungary;212;FP6
145;Cyprus;Hungary;65;FP6
146;Czech Republic;Hungary;236;FP6
147;Denmark;Hungary;208;FP6
148;Bulgaria;Hungary;134;FP6
149;Croatia;Hungary;42;FP6
150;Estonia;Hungary;97;FP6
151;Austria;Portugal;206;FP6
152;Belgium;Portugal;335;FP6
153;France;Portugal;533;FP6
154;Germany;Portugal;577;FP6
155;Italy;Portugal;509;FP6
156;Greece;Portugal;302;FP6
157;Ireland;Portugal;144;FP6
158;Finland;Portugal;185;FP6
159;Poland;Portugal;269;FP6
160;Hungary;Portugal;177;FP6
161;Netherlands;Portugal;385;FP6
162;Cyprus;Portugal;67;FP6
163;Czech Republic;Portugal;168;FP6
164;Denmark;Portugal;205;FP6
165;Lithuania;Portugal;51;FP6
166;Bulgaria;Portugal;83;FP6
167;Croatia;Portugal;34;FP6
168;Latvia;Portugal;50;FP6
169;Estonia;Portugal;65;FP6
170;Malta;Portugal;37;FP6
171;Luxembourg;Portugal;22;FP6
172;Austria;Sweden;430;FP6
173;Belgium;Sweden;652;FP6
174;France;Sweden;1030;FP6
175;Germany;Sweden;1244;FP6
176;Italy;Sweden;915;FP6
177;Greece;Sweden;433;FP6
178;Ireland;Sweden;245;FP6
179;Spain;Sweden;822;FP6
180;Finland;Sweden;440;FP6
181;Poland;Sweden;476;FP6
182;Hungary;Sweden;298;FP6
183;Portugal;Sweden;302;FP6
184;Netherlands;Sweden;810;FP6
185;Cyprus;Sweden;51;FP6
186;Czech Republic;Sweden;308;FP6
187;Romania;Sweden;143;FP6
188;Denmark;Sweden;463;FP6
189;Lithuania;Sweden;90;FP6
190;Slovenia;Sweden;166;FP6
191;Bulgaria;Sweden;105;FP6
192;Croatia;Sweden;37;FP6
193;Slovakia;Sweden;122;FP6
194;Latvia;Sweden;76;FP6
195;Estonia;Sweden;136;FP6
196;Malta;Sweden;31;FP6
197;Luxembourg;Sweden;26;FP6
198;Austria;Netherlands;600;FP6
199;Belgium;Netherlands;935;FP6
200;France;Netherlands;1399;FP6
201;Germany;Netherlands;1702;FP6
202;Italy;Netherlands;1246;FP6
203;Greece;Netherlands;615;FP6
204;Ireland;Netherlands;310;FP6
205;Finland;Netherlands;510;FP6
206;Hungary;Netherlands;416;FP6
207;Cyprus;Netherlands;81;FP6
208;Czech Republic;Netherlands;416;FP6
209;Denmark;Netherlands;581;FP6
210;Lithuania;Netherlands;102;FP6
211;Bulgaria;Netherlands;167;FP6
212;Croatia;Netherlands;54;FP6
213;Latvia;Netherlands;89;FP6
214;Estonia;Netherlands;136;FP6
215;Malta;Netherlands;42;FP6
216;Luxembourg;Netherlands;42;FP6
217;Austria;Cyprus;63;FP6
218;Belgium;Cyprus;77;FP6
219;Bulgaria;Cyprus;51;FP6
220;Croatia;Cyprus;22;FP6
221;Austria;Czech Republic;262;FP6
222;Belgium;Czech Republic;354;FP6
223;Cyprus;Czech Republic;57;FP6
224;Bulgaria;Czech Republic;99;FP6
225;Croatia;Czech Republic;29;FP6
226;Austria;Romania;151;FP6
227;Belgium;Romania;170;FP6
228;France;Romania;259;FP6
229;Germany;Romania;311;FP6
230;Italy;Romania;259;FP6
231;Greece;Romania;199;FP6
232;Ireland;Romania;72;FP6
233;Finland;Romania;100;FP6
234;Poland;Romania;203;FP6
235;Hungary;Romania;152;FP6
236;Portugal;Romania;108;FP6
237;Netherlands;Romania;197;FP6
238;Cyprus;Romania;56;FP6
239;Czech Republic;Romania;114;FP6
240;Denmark;Romania;89;FP6
241;Lithuania;Romania;75;FP6
242;Bulgaria;Romania;132;FP6
243;Croatia;Romania;35;FP6
244;Latvia;Romania;59;FP6
245;Estonia;Romania;69;FP6
246;Malta;Romania;38;FP6
247;Luxembourg;Romania;14;FP6
248;Austria;Denmark;284;FP6
249;Belgium;Denmark;443;FP6
250;Cyprus;Denmark;47;FP6
251;Czech Republic;Denmark;228;FP6
252;Bulgaria;Denmark;95;FP6
253;Croatia;Denmark;36;FP6
254;Austria;Lithuania;77;FP6
255;Belgium;Lithuania;92;FP6
256;France;Lithuania;132;FP6
257;Germany;Lithuania;176;FP6
258;Italy;Lithuania;149;FP6
259;Greece;Lithuania;97;FP6
260;Ireland;Lithuania;48;FP6
261;Finland;Lithuania;68;FP6
262;Hungary;Lithuania;91;FP6
263;Cyprus;Lithuania;39;FP6
264;Czech Republic;Lithuania;91;FP6
265;Denmark;Lithuania;69;FP6
266;Bulgaria;Lithuania;64;FP6
267;Croatia;Lithuania;14;FP6
268;Latvia;Lithuania;71;FP6
269;Estonia;Lithuania;75;FP6
270;Austria;Slovenia;188;FP6
271;Belgium;Slovenia;212;FP6
272;France;Slovenia;284;FP6
273;Germany;Slovenia;365;FP6
274;Italy;Slovenia;299;FP6
275;Greece;Slovenia;154;FP6
276;Ireland;Slovenia;82;FP6
277;Finland;Slovenia;114;FP6
278;Poland;Slovenia;189;FP6
279;Hungary;Slovenia;145;FP6
280;Portugal;Slovenia;98;FP6
281;Netherlands;Slovenia;230;FP6
282;Cyprus;Slovenia;51;FP6
283;Czech Republic;Slovenia;139;FP6
284;Romania;Slovenia;97;FP6
285;Denmark;Slovenia;129;FP6
286;Lithuania;Slovenia;82;FP6
287;Bulgaria;Slovenia;84;FP6
288;Croatia;Slovenia;46;FP6
289;Slovakia;Slovenia;88;FP6
290;Latvia;Slovenia;58;FP6
291;Estonia;Slovenia;72;FP6
292;Malta;Slovenia;31;FP6
293;Luxembourg;Slovenia;20;FP6
294;Austria;Croatia;46;FP6
295;Belgium;Croatia;49;FP6
296;Bulgaria;Croatia;37;FP6
297;Austria;Bulgaria;132;FP6
298;Belgium;Bulgaria;135;FP6
299;Austria;Slovakia;143;FP6
300;Belgium;Slovakia;138;FP6
301;France;Slovakia;201;FP6
302;Germany;Slovakia;254;FP6
303;Italy;Slovakia;212;FP6
304;Greece;Slovakia;105;FP6
305;Ireland;Slovakia;58;FP6
306;Finland;Slovakia;95;FP6
307;Poland;Slovakia;167;FP6
308;Hungary;Slovakia;148;FP6
309;Portugal;Slovakia;80;FP6
310;Netherlands;Slovakia;165;FP6
311;Cyprus;Slovakia;45;FP6
312;Czech Republic;Slovakia;130;FP6
313;Romania;Slovakia;97;FP6
314;Denmark;Slovakia;91;FP6
315;Lithuania;Slovakia;68;FP6
316;Bulgaria;Slovakia;81;FP6
317;Croatia;Slovakia;27;FP6
318;Latvia;Slovakia;60;FP6
319;Estonia;Slovakia;67;FP6
320;Malta;Slovakia;31;FP6
321;Luxembourg;Slovakia;13;FP6
322;Austria;Latvia;62;FP6
323;Belgium;Latvia;75;FP6
324;France;Latvia;102;FP6
325;Germany;Latvia;137;FP6
326;Italy;Latvia;106;FP6
327;Greece;Latvia;63;FP6
328;Ireland;Latvia;35;FP6
329;Finland;Latvia;65;FP6
330;Hungary;Latvia;72;FP6
331;Cyprus;Latvia;37;FP6
332;Czech Republic;Latvia;59;FP6
333;Denmark;Latvia;55;FP6
334;Bulgaria;Latvia;50;FP6
335;Croatia;Latvia;21;FP6
336;Estonia;Latvia;64;FP6
337;Austria;Estonia;100;FP6
338;Belgium;Estonia;115;FP6
339;Cyprus;Estonia;43;FP6
340;Czech Republic;Estonia;81;FP6
341;Denmark;Estonia;102;FP6
342;Bulgaria;Estonia;61;FP6
343;Croatia;Estonia;22;FP6
344;Austria;Malta;35;FP6
345;Belgium;Malta;36;FP6
346;France;Malta;56;FP6
347;Germany;Malta;62;FP6
348;Italy;Malta;71;FP6
349;Greece;Malta;52;FP6
350;Ireland;Malta;21;FP6
351;Finland;Malta;22;FP6
352;Hungary;Malta;47;FP6
353;Cyprus;Malta;34;FP6
354;Czech Republic;Malta;33;FP6
355;Denmark;Malta;23;FP6
356;Lithuania;Malta;31;FP6
357;Bulgaria;Malta;33;FP6
358;Croatia;Malta;9;FP6
359;Latvia;Malta;28;FP6
360;Estonia;Malta;34;FP6
361;Luxembourg;Malta;3;FP6
362;Austria;Luxembourg;34;FP6
363;Belgium;Luxembourg;60;FP6
364;France;Luxembourg;61;FP6
365;Germany;Luxembourg;68;FP6
366;Italy;Luxembourg;52;FP6
367;Greece;Luxembourg;39;FP6
368;Ireland;Luxembourg;21;FP6
369;Finland;Luxembourg;26;FP6
370;Hungary;Luxembourg;17;FP6
371;Cyprus;Luxembourg;13;FP6
372;Czech Republic;Luxembourg;19;FP6
373;Denmark;Luxembourg;17;FP6
374;Lithuania;Luxembourg;7;FP6
375;Bulgaria;Luxembourg;11;FP6
376;Croatia;Luxembourg;6;FP6
377;Latvia;Luxembourg;12;FP6
378;Estonia;Luxembourg;10;FP6
379;Germany;Portugal;982;FP7
380;Austria;Portugal;308;FP7
381;France;Portugal;811;FP7
382;Greece;Portugal;442;FP7
383;Italy;Portugal;834;FP7
384;Finland;Portugal;273;FP7
385;Netherlands;Portugal;607;FP7
386;Ireland;Portugal;254;FP7
387;Czech Republic;Portugal;168;FP7
388;Denmark;Portugal;289;FP7
389;Belgium;Portugal;532;FP7
390;Estonia;Portugal;93;FP7
391;Poland;Portugal;291;FP7
392;Hungary;Portugal;212;FP7
393;Bulgaria;Portugal;121;FP7
394;Latvia;Portugal;64;FP7
395;Cyprus;Portugal;88;FP7
396;Malta;Portugal;52;FP7
397;Lithuania;Portugal;68;FP7
398;Luxembourg;Portugal;52;FP7
399;Croatia;Portugal;68;FP7
400;Germany;Spain;3369;FP7
401;Portugal;Spain;919;FP7
402;Austria;Spain;1018;FP7
403;France;Spain;2730;FP7
404;Greece;Spain;1184;FP7
405;Italy;Spain;2832;FP7
406;Finland;Spain;870;FP7
407;Netherlands;Spain;1961;FP7
408;Ireland;Spain;655;FP7
409;Czech Republic;Spain;590;FP7
410;Denmark;Spain;861;FP7
411;Slovenia;Spain;367;FP7
412;Belgium;Spain;1730;FP7
413;Estonia;Spain;234;FP7
414;Poland;Spain;845;FP7
415;Slovakia;Spain;206;FP7
416;Hungary;Spain;586;FP7
417;Bulgaria;Spain;282;FP7
418;Latvia;Spain;138;FP7
419;Cyprus;Spain;200;FP7
420;Romania;Spain;497;FP7
421;Malta;Spain;97;FP7
422;Lithuania;Spain;179;FP7
423;Luxembourg;Spain;98;FP7
424;Croatia;Spain;155;FP7
425;Austria;France;1122;FP7
426;Finland;France;894;FP7
427;Czech Republic;France;626;FP7
428;Denmark;France;901;FP7
429;Belgium;France;1995;FP7
430;Estonia;France;225;FP7
431;Bulgaria;France;267;FP7
432;Cyprus;France;177;FP7
433;Croatia;France;147;FP7
434;Austria;Germany;1664;FP7
435;France;Germany;3950;FP7
436;Finland;Germany;1199;FP7
437;Czech Republic;Germany;788;FP7
438;Denmark;Germany;1231;FP7
439;Belgium;Germany;2456;FP7
440;Estonia;Germany;293;FP7
441;Bulgaria;Germany;333;FP7
442;Cyprus;Germany;211;FP7
443;Croatia;Germany;187;FP7
444;Germany;Greece;1475;FP7
445;Austria;Greece;438;FP7
446;France;Greece;1212;FP7
447;Finland;Greece;390;FP7
448;Czech Republic;Greece;266;FP7
449;Denmark;Greece;347;FP7
450;Belgium;Greece;743;FP7
451;Estonia;Greece;134;FP7
452;Bulgaria;Greece;197;FP7
453;Cyprus;Greece;205;FP7
454;Croatia;Greece;115;FP7
455;Germany;Italy;3745;FP7
456;Austria;Italy;1097;FP7
457;France;Italy;2996;FP7
458;Greece;Italy;1250;FP7
459;Finland;Italy;836;FP7
460;Ireland;Italy;628;FP7
461;Czech Republic;Italy;613;FP7
462;Denmark;Italy;847;FP7
463;Belgium;Italy;1839;FP7
464;Estonia;Italy;233;FP7
465;Hungary;Italy;611;FP7
466;Bulgaria;Italy;292;FP7
467;Cyprus;Italy;196;FP7
468;Croatia;Italy;156;FP7
469;Germany;Sweden;1947;FP7
470;Portugal;Sweden;398;FP7
471;Austria;Sweden;595;FP7
472;France;Sweden;1511;FP7
473;Greece;Sweden;543;FP7
474;Italy;Sweden;1381;FP7
475;Spain;Sweden;1308;FP7
476;Finland;Sweden;616;FP7
477;Netherlands;Sweden;1244;FP7
478;Ireland;Sweden;352;FP7
479;Czech Republic;Sweden;337;FP7
480;Denmark;Sweden;591;FP7
481;Slovenia;Sweden;228;FP7
482;Belgium;Sweden;1007;FP7
483;Estonia;Sweden;178;FP7
484;Poland;Sweden;478;FP7
485;Slovakia;Sweden;123;FP7
486;Hungary;Sweden;334;FP7
487;Bulgaria;Sweden;136;FP7
488;Latvia;Sweden;93;FP7
489;Cyprus;Sweden;91;FP7
490;Romania;Sweden;263;FP7
491;Malta;Sweden;53;FP7
492;Lithuania;Sweden;109;FP7
493;Luxembourg;Sweden;64;FP7
494;Croatia;Sweden;94;FP7
495;Germany;United Kingdom;4586;FP7
496;Portugal;United Kingdom;937;FP7
497;Austria;United Kingdom;1291;FP7
498;France;United Kingdom;3555;FP7
499;Greece;United Kingdom;1395;FP7
500;Italy;United Kingdom;3426;FP7
501;Spain;United Kingdom;3254;FP7
502;Sweden;United Kingdom;1812;FP7
503;Finland;United Kingdom;1069;FP7
504;Netherlands;United Kingdom;2858;FP7
505;Ireland;United Kingdom;860;FP7
506;Czech Republic;United Kingdom;690;FP7
507;Denmark;United Kingdom;1189;FP7
508;Slovenia;United Kingdom;450;FP7
509;Belgium;United Kingdom;2217;FP7
510;Estonia;United Kingdom;267;FP7
511;Poland;United Kingdom;1042;FP7
512;Slovakia;United Kingdom;240;FP7
513;Hungary;United Kingdom;697;FP7
514;Bulgaria;United Kingdom;335;FP7
515;Latvia;United Kingdom;142;FP7
516;Cyprus;United Kingdom;235;FP7
517;Romania;United Kingdom;502;FP7
518;Malta;United Kingdom;89;FP7
519;Lithuania;United Kingdom;213;FP7
520;Luxembourg;United Kingdom;129;FP7
521;Croatia;United Kingdom;180;FP7
522;Germany;Netherlands;2992;FP7
523;Austria;Netherlands;896;FP7
524;France;Netherlands;2263;FP7
525;Greece;Netherlands;827;FP7
526;Italy;Netherlands;2108;FP7
527;Finland;Netherlands;754;FP7
528;Ireland;Netherlands;526;FP7
529;Czech Republic;Netherlands;492;FP7
530;Denmark;Netherlands;850;FP7
531;Belgium;Netherlands;1680;FP7
532;Estonia;Netherlands;192;FP7
533;Hungary;Netherlands;500;FP7
534;Bulgaria;Netherlands;225;FP7
535;Latvia;Netherlands;111;FP7
536;Cyprus;Netherlands;140;FP7
537;Malta;Netherlands;61;FP7
538;Lithuania;Netherlands;136;FP7
539;Luxembourg;Netherlands;83;FP7
540;Croatia;Netherlands;124;FP7
541;Germany;Ireland;801;FP7
542;Austria;Ireland;269;FP7
543;France;Ireland;637;FP7
544;Greece;Ireland;304;FP7
545;Finland;Ireland;244;FP7
546;Czech Republic;Ireland;140;FP7
547;Denmark;Ireland;259;FP7
548;Belgium;Ireland;395;FP7
549;Estonia;Ireland;76;FP7
550;Hungary;Ireland;152;FP7
551;Bulgaria;Ireland;88;FP7
552;Cyprus;Ireland;79;FP7
553;Croatia;Ireland;45;FP7
554;Austria;Denmark;405;FP7
555;Czech Republic;Denmark;208;FP7
556;Belgium;Denmark;643;FP7
557;Bulgaria;Denmark;100;FP7
558;Cyprus;Denmark;68;FP7
559;Croatia;Denmark;64;FP7
560;Austria;Finland;433;FP7
561;Czech Republic;Finland;215;FP7
562;Denmark;Finland;387;FP7
563;Belgium;Finland;597;FP7
564;Estonia;Finland;138;FP7
565;Bulgaria;Finland;104;FP7
566;Cyprus;Finland;72;FP7
567;Croatia;Finland;58;FP7
568;Germany;Slovenia;501;FP7
569;Portugal;Slovenia;138;FP7
570;Austria;Slovenia;212;FP7
571;France;Slovenia;369;FP7
572;Greece;Slovenia;191;FP7
573;Italy;Slovenia;417;FP7
574;Finland;Slovenia;163;FP7
575;Netherlands;Slovenia;316;FP7
576;Ireland;Slovenia;126;FP7
577;Czech Republic;Slovenia;120;FP7
